# Baseline 8805, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,26100,0,2.9642248722
0,1,950.0000000000,26175,0,2.9727427598
0,2,950.0000000000,26028,0,2.9560477002
0,3,950.0000000000,26151,0,2.9700170358
0,4,950.0000000000,26037,0,2.9570698467
0,5,950.0000000000,26155,0,2.9704713231
0,6,950.0000000000,26173,0,2.9725156161
0,7,950.0000000000,26116,0,2.9660420216
0,8,950.0000000000,26205,0,2.9761499148
0,9,950.0000000000,26091,0,2.9632027257
0,10,950.0000000000,26231,0,2.9791027825
0,11,950.0000000000,26142,0,2.9689948893
0,12,950.0000000000,26309,0,2.9879613856
0,13,950.0000000000,26129,0,2.9675184554
0,14,950.0000000000,26153,0,2.9702441794
0,15,950.0000000000,26241,0,2.9802385009
0,16,950.0000000000,26169,0,2.9720613288
0,17,950.0000000000,26126,0,2.9671777399
0,18,950.0000000000,26203,0,2.9759227712
0,19,950.0000000000,26240,0,2.9801249290
0,20,950.0000000000,26225,0,2.9784213515
0,21,950.0000000000,26153,0,2.9702441794
0,22,950.0000000000,26300,0,2.9869392391
0,23,950.0000000000,26250,0,2.9812606474
0,24,950.0000000000,26226,0,2.9785349233
0,25,950.0000000000,25962,0,2.9485519591
0,26,950.0000000000,26067,0,2.9604770017
0,27,950.0000000000,26211,0,2.9768313458
0,28,950.0000000000,26214,0,2.9771720613
0,29,950.0000000000,26304,0,2.9873935264
1,0,475.0000000000,23362,0,2.6532651902
2,0,237.5000000000,17439,0,1.9805792164
3,0,118.7500000000,16068,0,1.8248722317
4,0,59.3750000000,14983,0,1.7016467916
5,0,29.6875000000,14671,0,1.6662123793
6,0,14.8437500000,12801,0,1.4538330494
7,0,7.4218750000,10320,1,1.1720613288
7,1,7.4218750000,10306,1,1.1704713231
7,2,7.4218750000,10322,1,1.1722884725
7,3,7.4218750000,10387,1,1.1796706417
7,4,7.4218750000,10362,1,1.1768313458
7,5,7.4218750000,10327,1,1.1728563316
7,6,7.4218750000,10320,1,1.1720613288
7,7,7.4218750000,10320,1,1.1720613288
7,8,7.4218750000,10317,1,1.1717206133
7,9,7.4218750000,10323,1,1.1724020443
7,10,7.4218750000,10331,1,1.1733106190
7,11,7.4218750000,10329,1,1.1730834753
7,12,7.4218750000,10310,1,1.1709256104
7,13,7.4218750000,10460,1,1.1879613856
7,14,7.4218750000,10325,1,1.1726291880
7,15,7.4218750000,10337,1,1.1739920500
7,16,7.4218750000,10330,1,1.1731970471
7,17,7.4218750000,10328,1,1.1729699035
7,18,7.4218750000,10330,1,1.1731970471
7,19,7.4218750000,10331,1,1.1733106190
7,20,7.4218750000,10330,1,1.1731970471
7,21,7.4218750000,10335,1,1.1737649063
7,22,7.4218750000,10315,1,1.1714934696
7,23,7.4218750000,10516,1,1.1943214083
7,24,7.4218750000,10360,1,1.1766042022
7,25,7.4218750000,10315,1,1.1714934696
7,26,7.4218750000,10328,1,1.1729699035
7,27,7.4218750000,10313,1,1.1712663260
7,28,7.4218750000,10317,1,1.1717206133
7,29,7.4218750000,10307,1,1.1705848949
8,0,11.1328125000,11094,0,1.2599659284
9,0,9.2773437500,11976,0,1.3601362862
10,0,8.3496093750,10552,1,1.1984099943
10,1,8.3496093750,10719,0,1.2173764906
11,0,7.8857421875,10511,1,1.1937535491
11,1,7.8857421875,10514,1,1.1940942646
11,2,7.8857421875,10489,1,1.1912549688
11,3,7.8857421875,10499,1,1.1923906871
11,4,7.8857421875,10498,1,1.1922771153
11,5,7.8857421875,10507,1,1.1932992618
11,6,7.8857421875,10471,1,1.1892106758
11,7,7.8857421875,10522,1,1.1950028393
11,8,7.8857421875,10504,1,1.1929585463
11,9,7.8857421875,10506,1,1.1931856899
11,10,7.8857421875,10488,1,1.1911413969
11,11,7.8857421875,10498,1,1.1922771153
11,12,7.8857421875,10495,1,1.1919363998
11,13,7.8857421875,10508,1,1.1934128336
11,14,7.8857421875,10514,1,1.1940942646
11,15,7.8857421875,10514,1,1.1940942646
11,16,7.8857421875,10551,1,1.1982964225
11,17,7.8857421875,10524,1,1.1952299830
11,18,7.8857421875,10494,1,1.1918228279
11,19,7.8857421875,10580,0,1.2015900057
12,0,7.6538085938,10497,1,1.1921635434
12,1,7.6538085938,10657,0,1.2103350369
13,0,7.5378417969,10493,1,1.1917092561
13,1,7.5378417969,10505,1,1.1930721181
13,2,7.5378417969,10506,1,1.1931856899
13,3,7.5378417969,10390,1,1.1800113572
13,4,7.5378417969,10368,1,1.1775127768
13,5,7.5378417969,10356,1,1.1761499148
13,6,7.5378417969,10410,1,1.1822827939
13,7,7.5378417969,10510,1,1.1936399773
13,8,7.5378417969,10489,1,1.1912549688
13,9,7.5378417969,10491,1,1.1914821124
13,10,7.5378417969,10509,1,1.1935264055
13,11,7.5378417969,10491,1,1.1914821124
13,12,7.5378417969,10495,1,1.1919363998
13,13,7.5378417969,10413,1,1.1826235094
13,14,7.5378417969,10396,1,1.1806927882
13,15,7.5378417969,10374,1,1.1781942078
13,16,7.5378417969,10396,1,1.1806927882
13,17,7.5378417969,10501,1,1.1926178308
13,18,7.5378417969,10480,1,1.1902328223
13,19,7.5378417969,10489,1,1.1912549688
13,20,7.5378417969,10486,1,1.1909142533
13,21,7.5378417969,10479,1,1.1901192504
13,22,7.5378417969,10514,1,1.1940942646
13,23,7.5378417969,10501,1,1.1926178308
13,24,7.5378417969,10507,1,1.1932992618
13,25,7.5378417969,10488,1,1.1911413969
13,26,7.5378417969,10468,1,1.1888699602
13,27,7.5378417969,10481,1,1.1903463941
13,28,7.5378417969,10415,1,1.1828506530
13,29,7.5378417969,10379,1,1.1787620670
14,0,7.5958251953,10404,1,1.1816013629
14,1,7.5958251953,10395,1,1.1805792164
14,2,7.5958251953,10410,1,1.1822827939
14,3,7.5958251953,10410,1,1.1822827939
14,4,7.5958251953,10400,1,1.1811470755
14,5,7.5958251953,10402,1,1.1813742192
14,6,7.5958251953,10386,1,1.1795570698
14,7,7.5958251953,10397,1,1.1808063600
14,8,7.5958251953,10401,1,1.1812606474
14,9,7.5958251953,10564,1,1.1997728563
14,10,7.5958251953,10414,1,1.1827370812
14,11,7.5958251953,10521,1,1.1948892675
14,12,7.5958251953,10492,1,1.1915956843
14,13,7.5958251953,10500,1,1.1925042589
14,14,7.5958251953,10473,1,1.1894378194
14,15,7.5958251953,10667,0,1.2114707553
