# Baseline 8760.833333333334, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,27892,0,1.2019158664
1,452.5000000000,9.5000000000,7.5000000000,18864,0,3.1837154000
2,228.7500000000,7.2500000000,6.2500000000,13307,0,2.1532198231
3,116.8750000000,6.1250000000,5.6250000000,11547,0,1.5189194331
4,60.9375000000,5.5625000000,5.3125000000,10759,0,1.3180253020
5,32.9687500000,5.2812500000,5.1562500000,10469,0,1.2280795206
6,46.9531250000,5.4218750000,5.2343750000,10644,1,1.1949776467
7,25.9765625000,5.2109375000,5.1171875000,10336,0,1.2149529154
8,36.4648437500,5.3164062500,5.1757812500,10589,1,1.1797964425
9,20.7324218750,5.1582031250,5.0878906250,10280,0,1.2086749738
