# Baseline 23455, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,43793,0,1.8671072266
0,1,950.0000000000,43749,0,1.8652312940
0,2,950.0000000000,43807,0,1.8677041143
0,3,950.0000000000,43850,0,1.8695374121
0,4,950.0000000000,43736,0,1.8646770411
0,5,950.0000000000,43731,0,1.8644638670
0,6,950.0000000000,43805,0,1.8676188446
0,7,950.0000000000,43772,0,1.8662118951
0,8,950.0000000000,43864,0,1.8701342997
0,9,950.0000000000,43712,0,1.8636538052
0,10,950.0000000000,43762,0,1.8657855468
0,11,950.0000000000,43813,0,1.8679599233
0,12,950.0000000000,43811,0,1.8678746536
0,13,950.0000000000,43810,0,1.8678320188
0,14,950.0000000000,43784,0,1.8667235131
0,15,950.0000000000,43840,0,1.8691110637
0,16,950.0000000000,43741,0,1.8648902153
0,17,950.0000000000,43855,0,1.8697505862
0,18,950.0000000000,43789,0,1.8669366873
0,19,950.0000000000,43730,0,1.8644212321
0,20,950.0000000000,43754,0,1.8654444681
0,21,950.0000000000,43773,0,1.8662545300
0,22,950.0000000000,43817,0,1.8681304626
0,23,950.0000000000,43800,0,1.8674056704
0,24,950.0000000000,43863,0,1.8700916649
0,25,950.0000000000,43834,0,1.8688552547
0,26,950.0000000000,43911,0,1.8721381369
0,27,950.0000000000,43760,0,1.8657002771
0,28,950.0000000000,43823,0,1.8683862716
0,29,950.0000000000,43827,0,1.8685568109
1,0,475.0000000000,38579,0,1.6448092091
2,0,237.5000000000,33549,0,1.4303560009
3,0,118.7500000000,31549,0,1.3450863355
4,0,59.3750000000,30699,0,1.3088467278
5,0,29.6875000000,29889,0,1.2743125133
6,0,14.8437500000,28407,0,1.2111276913
7,0,7.4218750000,26217,1,1.1177574078
7,1,7.4218750000,26210,1,1.1174589640
7,2,7.4218750000,26204,1,1.1172031550
7,3,7.4218750000,26200,1,1.1170326156
7,4,7.4218750000,26218,1,1.1178000426
7,5,7.4218750000,26210,1,1.1174589640
7,6,7.4218750000,26217,1,1.1177574078
7,7,7.4218750000,26227,1,1.1181837561
7,8,7.4218750000,26209,1,1.1174163291
7,9,7.4218750000,26206,1,1.1172884246
7,10,7.4218750000,26217,1,1.1177574078
7,11,7.4218750000,26235,1,1.1185248348
7,12,7.4218750000,26233,1,1.1184395651
7,13,7.4218750000,26197,1,1.1169047111
7,14,7.4218750000,26228,1,1.1182263910
7,15,7.4218750000,26235,1,1.1185248348
7,16,7.4218750000,26221,1,1.1179279471
7,17,7.4218750000,26237,1,1.1186101045
7,18,7.4218750000,26208,1,1.1173736943
7,19,7.4218750000,26221,1,1.1179279471
7,20,7.4218750000,26197,1,1.1169047111
7,21,7.4218750000,26213,1,1.1175868685
7,22,7.4218750000,26214,1,1.1176295033
7,23,7.4218750000,26220,1,1.1178853123
7,24,7.4218750000,26220,1,1.1178853123
7,25,7.4218750000,26217,1,1.1177574078
7,26,7.4218750000,26231,1,1.1183542955
7,27,7.4218750000,26216,1,1.1177147730
7,28,7.4218750000,26203,1,1.1171605201
7,29,7.4218750000,26222,1,1.1179705820
8,0,11.1328125000,27138,1,1.1570240887
8,1,11.1328125000,26975,1,1.1500746110
8,2,11.1328125000,27138,1,1.1570240887
8,3,11.1328125000,27060,1,1.1536985717
8,4,11.1328125000,26980,1,1.1502877851
8,5,11.1328125000,27084,1,1.1547218077
8,6,11.1328125000,26993,1,1.1508420379
8,7,11.1328125000,27024,1,1.1521637178
8,8,11.1328125000,26992,1,1.1507994031
8,9,11.1328125000,27021,1,1.1520358133
8,10,11.1328125000,27011,1,1.1516094649
8,11,11.1328125000,26978,1,1.1502025155
8,12,11.1328125000,27129,1,1.1566403752
8,13,11.1328125000,27092,1,1.1550628864
