# Baseline 1997, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,6302,0,3.1557336004
0,1,950.0000000000,6124,0,3.0665998998
0,2,950.0000000000,6228,0,3.1186780170
0,3,950.0000000000,6162,0,3.0856284427
0,4,950.0000000000,6229,0,3.1191787682
0,5,950.0000000000,6247,0,3.1281922884
0,6,950.0000000000,6282,0,3.1457185779
0,7,950.0000000000,6207,0,3.1081622434
0,8,950.0000000000,6338,0,3.1737606410
0,9,950.0000000000,6208,0,3.1086629945
0,10,950.0000000000,6245,0,3.1271907862
0,11,950.0000000000,6311,0,3.1602403605
0,12,950.0000000000,6245,0,3.1271907862
0,13,950.0000000000,6284,0,3.1467200801
0,14,950.0000000000,6285,0,3.1472208312
0,15,950.0000000000,6279,0,3.1442163245
0,16,950.0000000000,6188,0,3.0986479720
0,17,950.0000000000,6250,0,3.1296945418
0,18,950.0000000000,6253,0,3.1311967952
0,19,950.0000000000,6194,0,3.1016524787
0,20,950.0000000000,6282,0,3.1457185779
0,21,950.0000000000,6202,0,3.1056584877
0,22,950.0000000000,6229,0,3.1191787682
0,23,950.0000000000,6272,0,3.1407110666
0,24,950.0000000000,6264,0,3.1367050576
0,25,950.0000000000,6234,0,3.1216825238
0,26,950.0000000000,6224,0,3.1166750125
0,27,950.0000000000,6243,0,3.1261892839
0,28,950.0000000000,6219,0,3.1141712569
0,29,950.0000000000,6278,0,3.1437155734
1,0,475.0000000000,5136,0,2.5718577867
2,0,237.5000000000,4181,0,2.0936404607
3,0,118.7500000000,3681,0,1.8432648973
4,0,59.3750000000,3456,0,1.7305958938
5,0,29.6875000000,3257,0,1.6309464196
6,0,14.8437500000,3082,0,1.5433149725
7,0,7.4218750000,2385,1,1.1942914372
7,1,7.4218750000,2426,0,1.2148222334
8,0,3.7109375000,2191,1,1.0971457186
8,1,3.7109375000,2196,1,1.0996494742
8,2,3.7109375000,2190,1,1.0966449675
8,3,3.7109375000,2194,1,1.0986479720
8,4,3.7109375000,2190,1,1.0966449675
8,5,3.7109375000,2190,1,1.0966449675
8,6,3.7109375000,2190,1,1.0966449675
8,7,3.7109375000,2193,1,1.0981472208
