# Baseline 1993.5, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,6686,1,1.1734043565
1,452.5000000000,9.5000000000,7.5000000000,4771,0,3.3539001756
2,228.7500000000,7.2500000000,6.2500000000,3284,0,2.3932781540
3,116.8750000000,6.1250000000,5.6250000000,2790,0,1.6473539002
4,60.9375000000,5.5625000000,5.3125000000,2454,0,1.3995485327
5,32.9687500000,5.2812500000,5.1562500000,2397,0,1.2310007524
6,18.9843750000,5.1406250000,5.0781250000,2362,0,1.2024078254
7,25.9765625000,5.2109375000,5.1171875000,2395,1,1.1848507650
8,15.4882812500,5.1054687500,5.0585937500,2329,0,1.2014045648
9,20.7324218750,5.1582031250,5.0878906250,2402,1,1.1682969651
